participant,1_xinxi_1:1,1_xinxi_1:2,1_xinxi_1:3,1_xinxi_1:4,1_xinxi_1:5,1_xinxi_2:1,1_xinxi_2:2,1_xinxi_2:3,1_xinxi_2:4,1_xinxi_2:5,1_xinxi_3:1,1_xinxi_3:2,1_xinxi_3:3,1_xinxi_3:4,1_xinxi_3:5,1_xinxi_4:1,1_xinxi_4:2,1_xinxi_4:3,1_xinxi_4:4,1_xinxi_4:5,1_xinxi_5:1,1_xinxi_5:2,1_xinxi_5:3,1_xinxi_5:4,1_xinxi_5:5,1_xinxi_6:1,1_xinxi_6:2,1_xinxi_6:3,1_xinxi_6:4,1_xinxi_6:5,1_xinxi_7:1,1_xinxi_7:2,1_xinxi_7:3,2_renkou_1:1,2_renkou_2:1,2_renkou_2:other,2_renkou_3:1,2_renkou_3:other,2_renkou_4:1,2_renkou_4:other,2_renkou_5:1,2_renkou_6:1,2_renkou_6:other,3_yimioao_1:1,3_yimioao_2:1,4_pingtai_1:1,4_pingtai_2:1,4_pingtai_2:2,4_pingtai_2:3,4_pingtai_2:4,4_pingtai_2:5,4_pingtai_2:6,4_pingtai_2:7,4_pingtai_2:8,4_pingtai_2:9,4_pingtai_2:10,4_pingtai_2:11,4_pingtai_2:12,4_pingtai_2:13,4_pingtai_2:14,4_pingtai_2:15,4_pingtai_2:16,4_pingtai_2:17,4_pingtai_2:18,4_pingtai_2:19,4_pingtai_2:20,4_pingtai_2:21,4_pingtai_2:22,4_pingtai_2:other:22,5_shijian:1,6_laiyuan_1:1,6_laiyuan_1:2,6_laiyuan_1:3,6_laiyuan_1:4,6_laiyuan_1:5,6_laiyuan_2:1,6_laiyuan_2:2,6_laiyuan_2:3,6_laiyuan_2:4,6_laiyuan_2:5,7_qingkuang_1:1,7_qingkuang_1:2,7_qingkuang_1:3,7_qingkuang_1:4,8_pinlyu_1:1,9_dongji_1:1,9_dongji_1:2,9_dongji_1:3,9_dongji_1:4,9_dongji_1:5,9_dongji_2:1,9_dongji_2:2,9_dongji_2:3,9_dongji_2:4,9_dongji_2:5,9_dongji_3:1,9_dongji_3:2,9_dongji_3:3,9_dongji_3:4,9_dongji_3:5,10_NC_1:1,10_NC_1:2,10_NC_1:3,10_NC_1:4,10_NC_1:5,10_NC_2:1,10_NC_2:2,10_NC_2:3,10_NC_2:4,10_NC_2:5,10_NC_3:1,10_NC_3:2,10_NC_3:3,10_NC_3:4,10_NC_3:5,10_NC_4:1,10_NC_4:2,10_NC_4:3,11_NCC_1:1,11_NCC_1:2,11_NCC_1:3,11_NCC_1:4,11_NCC_1:5,11_NCC_2:1,11_NCC_2:2,11_NCC_2:3,11_NCC_2:4,11_NCC_2:5,11_NCC_3:1,11_NCC_3:2,11_NCC_3:3,11_NCC_3:4,11_NCC_3:5,11_NCC_4:1,11_NCC_4:2,11_NCC_4:3,11_NCC_4:4,11_NCC_4:5,11_NCC_5:1,11_NCC_5:2,11_NCC_5:3,11_NCC_5:4,11_NCC_5:5,11_NCC_6:1,11_NCC_6:2,11_NCC_6:3,11_NCC_6:4,11_NCC_6:5,11_NCC_7:1,11_NCC_7:2,11_NCC_7:3,11_NCC_7:4,11_NCC_7:5,11_NCC_8:1,11_NCC_8:2,11_NCC_8:3,11_NCC_8:4,11_NCC_8:5,11_NCC_9:1,11_NCC_9:2,12_shebei:1,13_guandao:1,feedback_2:1,TIME_start,TIME_end,TIME_total
s.9fe3be9f-30aa-4b76-8741-e1eba07a2719.txt,1,5,5,4,5,2,5,3,1,3,4,2,4,5,4,3,4,2,4,4,5,1,1,5,5,5,4,5,5,5,5,2,5,68,2,"",1,"",1,"",1,12,"",3,"",2,"","","","","","","","","","","","","","","","","","","","","","","","",3,1,4,3,2,2,1,3,2,1,3,3,3,3,2,3,5,5,5,3,媒體,"","","","",1,2,3,4,5,4,4,2,2,2,4,4,4,2,3,4,1,4,4,3,4,4,4,5,5,5,5,5,6,5,5,2,5,2,5,5,2,5,5,2,5,5,5,5,2,5,5,2,5,2,5,5,5,3,2,5,5,5,4,5,5,5,5,5,5,1,5,"",2021-12-25-22-13,2021-12-25-23-24,71,
s.836f1a8b-a50e-445c-bc2e-7433c8875d50.txt,3,5,3,4,2,4,3,4,3,4,4,3,4,4,4,4,4,4,3,4,4,3,2,3,3,3,3,4,4,5,4,4,4,63,2,"",1,"",1,"",3,11,"",3,"",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"",2,4,1,1,1,2,1,1,2,2,1,4,3,3,3,2,4,4,4,4,4,電視,"","","","",1,2,3,4,5,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,3,3,4,3,2,4,4,4,4,4,4,5,5,4,5,3,5,3,5,3,3,3,2,3,4,3,3,4,4,3,4,4,4,4,3,4,1,3,"",2022-01-05-03-03,2022-01-05-03-29,26,
s.59e13852-eab0-4c0b-86c0-e46fdca6a738.txt,1,2,4,2,3,2,5,5,2,4,2,4,5,3,3,5,5,5,1,1,1,3,4,3,3,4,5,5,4,4,2,4,5,41,2,"",1,"",2,"",8,7,"",2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",5,1,2,3,2,2,1,1,1,1,1,1,2,2,3,4,1,2,3,2,2,45,炅,2水,暽2火,水 ,1,4,2,5,3,4,4,2,4,5,2,5,3,4,1,4,2,1,1,1,4,4,2,4,5,2,3,4,6,5,3,3,2,3,5,5,3,1,1,1,5,3,5,6,6,3,5,5,3,1,5,2,4,4,5,5,2,4,4,2,5,1,1,4,3,1,3,25. 中國政府散佈冠狀病毒以防止地球人口過剩。~~,2021-12-15-05-41,2021-12-15-05-44,3,
s.d687b976-943c-4925-bbeb-a684239d237f.txt,4,5,2,5,4,4,2,3,3,3,4,2,4,4,4,5,4,2,3,2,4,2,2,4,4,4,4,2,3,4,4,4,2,67,1,"",1,"",2,"",4,11,"",3,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",4,4,2,2,2,2,1,1,2,2,1,4,4,4,2,2,4,4,4,4,4,"","","","","",1,2,3,4,5,2,4,2,2,2,3,2,2,2,2,3,2,2,2,2,3,2,2,3,5,3,5,5,5,5,2,3,5,4,5,3,4,5,5,3,3,4,5,4,4,4,3,3,4,2,5,3,3,2,4,4,4,4,3,4,4,5,4,3,4,1,1,"",2021-12-25-04-30,2021-12-25-05-24,54,
s.46dca392-8bf8-4ac8-9a0b-e94c223772fe.txt,1,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,2,4,5,5,5,5,4,5,5,5,5,5,5,1,5,48,1,"",1,"",2,"",2,4,"",3,"",1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,"",5,5,4,3,4,5,4,4,3,3,4,5,5,4,1,4,5,5,5,5,5,電視,"","","","",1,2,3,4,5,1,4,2,1,5,5,5,5,5,5,5,5,5,5,5,4,5,2,2,5,6,6,4,5,5,3,3,5,1,5,6,5,6,5,5,6,2,6,6,5,5,3,4,6,3,6,5,2,5,1,6,5,6,2,6,5,6,6,5,6,1,1,"",2022-01-04-14-33,2022-01-04-15-20,47,
s.a2ecbe6f-a4a4-47a2-8002-08e3694ae516.txt,4,5,3,4,3,4,3,3,2,3,4,3,4,4,4,4,4,2,4,4,4,3,3,3,3,4,4,4,3,4,4,4,3,60,1,"",1,"",1,"",4,8,"",3,"",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",4,4,2,3,4,1,2,1,2,2,1,4,4,4,1,2,4,5,5,5,5,"","","","","",1,2,3,4,5,2,3,2,3,4,4,2,3,4,3,4,2,3,3,4,4,2,2,4,4,3,5,5,4,4,3,3,4,3,5,5,4,5,5,3,3,4,5,4,4,5,3,5,3,3,5,3,4,4,2,4,4,4,3,4,5,4,3,3,4,1,1,"",2021-12-25-11-56,2021-12-25-12-32,36,
s.ed2903d7-e447-4bb1-b939-7f838b1ac107.txt,3,4,3,4,5,2,2,4,4,2,4,2,3,4,4,2,3,4,3,4,2,3,4,5,4,3,4,3,4,5,4,4,4,56,2,"",1,"",2,"",4,8,"",3,"",1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,"",3,3,2,3,3,2,2,2,2,2,2,4,4,4,2,3,3,3,3,3,4,電視,"","","","",1,3,2,4,5,2,4,2,2,4,4,4,4,4,2,2,4,4,2,2,2,2,2,5,4,5,4,4,4,4,2,3,4,2,4,5,4,5,5,3,4,3,4,4,4,4,3,4,4,3,4,4,4,4,2,4,4,4,2,5,5,5,5,5,5,1,6,"",2021-12-25-08-35,2021-12-25-08-52,17,
s.a66ede89-d21e-4bcc-9f4e-bdc89f4f3980.txt,4,5,5,4,4,2,5,4,4,4,5,5,5,5,5,5,4,2,4,4,5,4,4,1,4,4,5,4,5,4,5,2,5,65,2,"",1,"",1,"",3,9,"",3,"",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"",2,3,2,2,2,2,2,2,3,2,1,3,3,3,3,2,4,4,4,4,3,Line群組,疾管局,新聞,"","",1,2,3,4,5,2,4,2,4,4,4,4,2,4,2,4,4,4,2,4,4,4,2,5,2,5,4,4,5,4,2,3,4,3,4,4,4,4,5,3,3,4,5,4,4,4,4,4,3,2,5,4,4,3,2,5,5,5,2,5,2,5,4,4,5,1,1,"",2021-12-25-05-20,2021-12-25-05-50,30,
s.81f6284b-25d6-48b3-adef-b679462fcc2e.txt,5,5,5,5,5,1,5,5,1,5,5,1,5,5,5,1,4,5,2,5,5,5,1,5,1,5,5,5,5,5,5,5,2,62,2,"",1,"",1,"",4,11,"",3,"",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,"",4,4,1,2,2,1,1,1,4,4,1,4,4,4,2,3,4,4,4,4,5,1922,大愛台,LINE,TVBS,親友,1,2,3,4,5,2,4,2,2,4,2,4,2,2,4,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,2,2,5,3,4,3,4,5,5,3,5,6,5,5,6,6,1,5,2,4,5,4,5,2,1,6,6,6,1,5,3,6,3,2,5,1,6,"",2021-12-25-13-32,2021-12-25-14-05,33,
s.f90f503f-efa3-4232-a880-ada521a371d9.txt,4,5,5,5,5,2,5,5,1,5,1,1,5,5,2,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,50,2,"",1,"",1,"",3,12,"",3,"",1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,"",2,2,1,1,2,1,1,1,4,3,1,5,4,4,1,2,5,5,5,5,5,電視,網路新聞,朋友,家人,Line,5,4,3,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,6,1,3,5,6,1,1,1,4,1,6,6,1,1,1,6,6,4,6,5,5,4,3,5,3,1,3,2,2,6,1,4,4,6,1,2,6,3,6,2,4,1,3,"",2021-12-25-20-02,2021-12-25-20-28,26,
s.4bfda122-19a4-4f47-bc1e-05199e105380.txt,2,5,3,4,4,2,5,4,2,3,4,4,3,4,5,4,4,4,3,2,4,2,3,5,5,4,4,4,4,5,4,4,4,67,2,"",1,"",1,"",3,9,"",3,"",1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"",4,4,2,2,5,4,4,2,3,4,1,3,5,5,2,4,5,3,4,5,5,TV疫情中心每日更新,TV,"","","",1,2,5,3,4,2,4,2,5,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,6,4,5,3,5,5,5,3,5,2,4,5,4,3,6,4,1,5,6,6,3,2,3,6,2,1,6,5,6,2,1,6,6,6,1,3,4,3,6,6,6,1,6,"",2022-01-04-15-31,2022-01-04-16-26,55,
s.a05c35a0-cefa-4d53-a2f5-791eb0ba338f.txt,3,4,4,4,3,3,4,4,4,4,3,2,4,4,4,3,4,3,4,4,4,3,4,4,3,4,4,4,3,4,4,3,4,56,2,"",1,"",1,"",3,5,"",3,"",1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"",10,5,2,2,3,2,3,1,3,4,1,5,5,5,1,3,5,5,5,5,5,電視,Line,Yahoo,"","",1,2,3,4,5,2,5,2,5,5,5,4,4,5,4,5,4,4,4,5,5,1,4,5,4,4,6,4,1,5,4,2,4,2,4,4,5,5,6,1,3,4,5,6,6,5,2,6,6,4,6,6,6,1,1,6,6,6,2,6,1,6,3,6,6,1,3,"",2021-12-27-07-50,2021-12-27-08-26,36,
